Block,Head,uAP,accuracy-at-1,recall-at-p90
0,0,1,0.6707,0.5795
0,1,2,0.6648,0.5514
0,2,3,0.6641,0.5705
1,0,4,0.6658,0.5704
1,1,5,0.607,0.4531
1,2,6,0.6646,0.5725
2,0,7,0.5247,0.3488
2,1,8,0.6255,0.5015
2,2,9,0.6533,0.5366
3,0,10,0.6694,0.5694
3,1,11,0.668,0.5591
3,2,12,0.6691,0.5777
4,0,13,0.6824,0.5814
4,1,14,0.676,0.5766
4,2,15,0.6342,0.517
5,0,16,0.6781,0.5772
5,1,17,0.6746,0.5688
5,2,18,0.6762,0.5803
6,0,19,0.675,0.5713
6,1,20,0.6778,0.5776
6,2,21,0.6801,0.5905
7,0,22,0.6808,0.5794
7,1,23,0.6824,0.5873
7,2,24,0.6773,0.588
8,0,25,0.6821,0.5855
8,1,26,0.6823,0.5825
8,2,27,0.6774,0.5824
9,0,28,0.6783,0.5676
9,1,29,0.6769,0.5837
9,2,30,0.682,0.5927
10,0,31,0.6788,0.5841
10,1,32,0.6804,0.574
10,2,33,0.6781,0.5814
11,0,34,0.6787,0.5841
11,1,35,0.6766,0.571
11,2,36,0.6801,0.5847
