Block,Head,uAP,accuracy-at-1,recall-at-p90
Flat,0,0,0.6470976247078619,0.6707,0.5795
Flat,0,1,0.6334238708665617,0.6648,0.5514
Flat,0,2,0.640750734378537,0.6641,0.5705
Flat,1,0,0.6408283867757771,0.6658,0.5704
Flat,1,1,0.5550614395801504,0.607,0.4531
Flat,1,2,0.6406126204873681,0.6646,0.5725
Flat,2,0,0.4492286966258576,0.5247,0.3488
Flat,2,1,0.5825446896797124,0.6255,0.5015
Flat,2,2,0.6221027942874122,0.6533,0.5366
Flat,3,0,0.6383181965991637,0.6694,0.5694
Flat,3,1,0.6351096328875099,0.668,0.5591
Flat,3,2,0.6457655624039842,0.6691,0.5777
Flat,4,0,0.6552586305901263,0.6824,0.5814
Flat,4,1,0.6497341931143678,0.676,0.5766
Flat,4,2,0.597599787833708,0.6342,0.517
Flat,5,0,0.6502575286042579,0.6781,0.5772
Flat,5,1,0.6441270589941097,0.6746,0.5688
Flat,5,2,0.6520548154162608,0.6762,0.5803
Flat,6,0,0.6482294282152723,0.675,0.5713
Flat,6,1,0.6509604465957027,0.6778,0.5776
Flat,6,2,0.656250129301316,0.6801,0.5905
Flat,7,0,0.6520694509920606,0.6808,0.5794
Flat,7,1,0.6567133328882009,0.6824,0.5873
Flat,7,2,0.6533831647027665,0.6773,0.588
Flat,8,0,0.654789142546586,0.6821,0.5855
Flat,8,1,0.6551042635876478,0.6823,0.5825
Flat,8,2,0.6522814466052266,0.6774,0.5824
Flat,9,0,0.6463358827673404,0.6783,0.5676
Flat,9,1,0.6530840714228459,0.6769,0.5837
Flat,9,2,0.6601718590884615,0.682,0.5927
Flat,10,0,0.6526879347855826,0.6788,0.5841
Flat,10,1,0.6515172030225262,0.6804,0.574
Flat,10,2,0.6544060328250132,0.6781,0.5814
Flat,11,0,0.6540256474795882,0.6787,0.5841
Flat,11,1,0.643680807752964,0.6766,0.571
Flat,11,2,0.6538515798017317,0.6801,0.5847
